group,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal
Activation,240,11.9267,18.9408,2.1852,4.7289,0.6807,0.0,False
Addition,96,4.2071,10.4738,3.1022,9.3523,0.464,0.0,False
Alkylation,984,36.9281,36.8043,0.4739,-1.3719,0.8377,0.0,False
Amide coupling,3960,35.9815,32.3006,0.5248,-1.0937,0.8896,0.0,False
"Arylation, acidic C-H",4152,24.8087,32.649,1.1069,-0.2318,0.7568,0.0,False
"Borylation, C-H",120,6.2371,10.9061,2.0364,3.6864,0.6326,0.0,False
"Borylation, Miyaura",1402,15.485,22.7571,1.8129,2.6972,0.7197,0.0,False
Buchwald-Hartwig,20694,19.6514,27.0646,1.367,0.6694,0.7505,0.0,False
CC-Coupling,680,16.3926,20.763,1.4231,1.8334,0.7949,0.0,False
CH-Activation,2240,14.8418,21.0923,1.7676,2.7587,0.7398,0.0,False
CN-Coupling,3918,20.9397,26.4411,1.1182,-0.017,0.7879,0.0,False
CO-Coupling,3123,13.3126,20.5401,1.7627,2.6016,0.7059,0.0,False
CS-Coupling,120,28.2065,25.7948,0.4899,-0.7906,0.8947,0.0,False
Chlorination,48,19.3842,17.568,0.508,-0.5669,0.9032,0.0008,False
Condensation,2220,21.1885,23.5412,1.0234,0.0277,0.8432,0.0,False
Cyanation,264,20.1905,29.4791,1.2869,0.2567,0.7158,0.0,False
Cyclization,1656,19.5525,26.4828,1.3517,0.7471,0.7606,0.0,False
Dehydration,192,4.8017,9.1079,3.1195,12.2835,0.5895,0.0,False
Deoxyfluorination,48,45.0673,28.1045,-0.3112,-0.9962,0.9236,0.004,False
Deprotection,936,49.0713,35.8284,-0.169,-1.5731,0.8718,0.0,False
"Dimerization, reductive",192,10.9088,11.9204,0.9703,0.1065,0.8519,0.0,False
"Fluorination, oxidative",48,4.0781,11.3014,6.1747,40.851,0.3204,0.0,False
Glycosidation,192,37.0579,21.986,0.3889,-0.8792,0.9555,0.0,False
Heck,696,10.0033,12.3757,1.1018,0.1624,0.8022,0.0,False
Hydration,96,7.179,14.0059,3.3528,12.9797,0.5605,0.0,False
Hydrodehalogenation,216,15.476,20.2068,1.774,2.7845,0.7592,0.0,False
Hydrolysis,624,13.2289,24.4107,2.0391,3.2279,0.6124,0.0,False
Mitsunobu,120,4.9665,14.7347,3.871,15.3785,0.3855,0.0,False
Negishi,840,11.0079,17.1282,2.2835,5.3752,0.6808,0.0,False
"Negishi, in-situ",1752,14.5367,18.9514,1.4789,1.4142,0.7756,0.0,False
Oxidation,264,31.9034,30.1141,0.6996,-0.6853,0.8847,0.0,False
Protection,24,4.8379,12.5766,2.9191,8.3872,0.4543,0.0,False
Reduction,48,69.1317,28.0645,-1.1554,0.6547,0.8595,0.0,False
SNAr,648,18.2089,21.0534,1.2042,1.1185,0.8319,0.0,False
Salt formation,396,28.659,40.5616,0.8187,-1.1786,0.6629,0.0,False
Sandmeyer,96,1.1813,6.1784,5.5388,30.8634,0.1913,0.0,False
Sonogashira,369,12.3476,17.965,1.5421,1.5589,0.7314,0.0,False
Stannylation,192,9.2011,17.1142,2.513,6.7008,0.5992,0.0,False
Stetter,288,25.2725,22.1542,0.7897,0.1168,0.9156,0.0,False
Suzuki-Miyaura,11594,30.2757,31.5631,0.77,-0.7911,0.8477,0.0,False
"Suzuki-Miyaura, in situ",1296,15.8199,22.5331,1.8129,2.7392,0.7297,0.0,False
Wittig,118,11.3471,16.6497,1.1094,-0.4241,0.6952,0.0,False
