group,n,mean,std,skewness,kurtosis,shapiro_stat,shapiro_p,is_normal
Activation,240,-0.0,0.9999,2.1838,4.7224,0.681,0.0,False
Addition,96,0.0011,0.9996,3.1038,9.3608,0.4635,0.0,False
Alkylation,984,0.0006,0.995,0.7086,1.3428,0.9534,0.0,False
Amide coupling,3960,-0.0001,0.9974,0.5558,-0.139,0.9625,0.0,False
"Arylation, acidic C-H",4152,0.0008,0.9982,1.0907,0.7862,0.8441,0.0,False
"Borylation, C-H",120,-0.0005,0.9962,2.3491,5.1525,0.6325,0.0,False
"Borylation, Miyaura",1402,-0.0001,0.9967,1.6173,2.9383,0.82,0.0,False
Buchwald-Hartwig,20693,-0.0,0.9957,1.6737,4.9414,0.8638,0.0,False
CC-Coupling,680,0.0006,0.9971,1.6059,2.6835,0.835,0.0,False
CH-Activation,2240,0.0004,0.9966,1.6648,4.1792,0.8551,0.0,False
CN-Coupling,3918,-0.0002,0.996,1.5212,4.4772,0.8897,0.0,False
CO-Coupling,3123,0.0004,0.996,1.9486,6.5378,0.8311,0.0,False
CS-Coupling,120,0.0001,0.9908,0.566,0.4264,0.945,0.0001,False
Chlorination,48,0.0012,0.9991,0.5109,-0.5614,0.903,0.0008,False
Condensation,2220,-0.0001,0.9969,1.4124,5.0563,0.9081,0.0,False
Cyanation,264,-0.0017,0.9992,1.3769,1.1124,0.7676,0.0,False
Cyclization,1656,-0.0006,0.9969,1.5425,2.5172,0.8397,0.0,False
Dehydration,192,-0.0014,1.0008,3.1157,12.262,0.5903,0.0,False
Deoxyfluorination,48,0.0008,0.999,-0.3099,-0.9977,0.9236,0.004,False
Deprotection,936,0.0001,0.9971,0.0487,0.3064,0.9598,0.0,False
"Dimerization, reductive",192,-0.0011,1.0012,0.967,0.0991,0.8528,0.0,False
"Fluorination, oxidative",48,0.0017,0.9891,2.553,10.8577,0.7214,0.0,False
Glycosidation,192,0.0003,1.0005,0.3865,-0.8805,0.9557,0.0,False
Heck,696,0.0004,0.9989,1.0372,-0.1093,0.8198,0.0,False
Hydration,96,0.0013,0.9995,3.358,13.0157,0.5595,0.0,False
Hydrodehalogenation,216,0.0007,0.9973,1.4581,3.596,0.8598,0.0,False
Hydrolysis,624,-0.0003,0.9967,3.0988,16.2711,0.7013,0.0,False
Mitsunobu,120,-0.0021,1.001,3.8676,15.3524,0.3861,0.0,False
Negishi,840,-0.0003,0.9971,1.9637,4.4842,0.7912,0.0,False
"Negishi, in-situ",1752,-0.0003,0.9973,2.0852,9.8627,0.8544,0.0,False
Oxidation,264,0.0002,0.9976,0.6623,-0.8322,0.89,0.0,False
Protection,24,0.0033,0.9977,2.922,8.4084,0.4538,0.0,False
Reduction,48,0.0004,0.9899,-1.7116,1.5081,0.6831,0.0,False
SNAr,648,0.0005,0.9951,1.0199,0.9563,0.9238,0.0,False
Salt formation,396,0.0023,0.9974,1.0954,1.27,0.8472,0.0,False
Sandmeyer,96,0.0011,0.9997,5.5393,30.8756,0.1914,0.0,False
Sonogashira,369,0.0004,0.9942,1.4743,1.6291,0.8153,0.0,False
Stannylation,192,-0.001,1.0003,2.512,6.7027,0.6001,0.0,False
Stetter,288,0.0005,0.9981,0.8032,0.2587,0.9251,0.0,False
Suzuki-Miyaura,11594,0.0,0.995,0.7907,1.711,0.9585,0.0,False
"Suzuki-Miyaura, in situ",1296,-0.0006,0.9978,1.5852,2.6869,0.8308,0.0,False
Wittig,118,-0.001,0.9959,2.4567,8.7097,0.6749,0.0,False
