ELN_ID,PLATENUMBER,Coordinate,AREA_TOTAL_REDUCED,Additive,Base,Catalyst,Coupling Reagent,Solvent,Aryl Halide,N-Nucleophile/Boronate Type,Ligand,Secondary Solvent,Tertiary Solvent,Reaction Type,PlateRow,PlateColumn,RowLabel,ColumnLabel,FG A,FG B,FG_sorted,output_column,z-Score
ELN031853-003,1,A1,48.01,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,DMAc,ArBr,,XantPhos,water,,CH-Activation,A,1,A: DMAc (10vol)/ water (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",17 h at 25 °C,0.42
ELN031853-003,1,C1,31.4,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,anisole,ArBr,,XantPhos,water,,CH-Activation,C,1,C: anisole (10vol)/ water (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",17 h at 25 °C,-0.11
ELN031853-003,1,D1,37.3,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,NMP,ArBr,,XantPhos,water,,CH-Activation,D,1,D: NMP (10vol)/ water (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",17 h at 25 °C,0.08
ELN031853-003,1,H5,21.47,KOPiv,K2CO3,dppfPdCl2,,NMP,ArBr,,dppf,,,CH-Activation,H,5,H: NMP (10vol)/,5: dppfPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",17 h at 25 °C,-0.42
ELN031853-003,1,D7,13.33,KOPiv,K2CO3,PPh3)2PdCl2,,NMP,ArBr,,PPh3,water,,CH-Activation,D,7,D: NMP (10vol)/ water (10vol)/,7: PPh3)2PdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",17 h at 25 °C,-0.68
ELN031853-003,1,E1,36.78,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,DMAc,ArBr,,XantPhos,,,CH-Activation,E,1,E: DMAc (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.06
ELN031853-003,1,F1,27.58,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,DMI,ArBr,,XantPhos,,,CH-Activation,F,1,F: DMI (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,-0.23
ELN031853-003,1,G1,60.2,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,anisole,ArBr,,XantPhos,,,CH-Activation,G,1,G: anisole (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.81
ELN031853-003,1,H1,38.85,KOPiv,K2CO3,XantPhos Pd(allyl)Cl,,NMP,ArBr,,XantPhos,,,CH-Activation,H,1,H: NMP (10vol)/,1: XantPhos Pd(allyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.13
ELN031853-003,1,A2,51.07,KOPiv,K2CO3,XantPhosPdCl2,,DMAc,ArBr,,XantPhos,water,,CH-Activation,A,2,A: DMAc (10vol)/ water (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.52
ELN031853-003,1,C2,57.45,KOPiv,K2CO3,XantPhosPdCl2,,anisole,ArBr,,XantPhos,water,,CH-Activation,C,2,C: anisole (10vol)/ water (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.72
ELN031853-003,1,D2,50.94,KOPiv,K2CO3,XantPhosPdCl2,,NMP,ArBr,,XantPhos,water,,CH-Activation,D,2,D: NMP (10vol)/ water (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.51
ELN031853-003,1,E2,68.07,KOPiv,K2CO3,XantPhosPdCl2,,DMAc,ArBr,,XantPhos,,,CH-Activation,E,2,E: DMAc (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,1.06
ELN031853-003,1,F2,49.86,KOPiv,K2CO3,XantPhosPdCl2,,DMI,ArBr,,XantPhos,,,CH-Activation,F,2,F: DMI (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.48
ELN031853-003,1,G2,80.77,KOPiv,K2CO3,XantPhosPdCl2,,anisole,ArBr,,XantPhos,,,CH-Activation,G,2,G: anisole (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,1.46
ELN031853-003,1,H2,68.96,KOPiv,K2CO3,XantPhosPdCl2,,NMP,ArBr,,XantPhos,,,CH-Activation,H,2,H: NMP (10vol)/,2: XantPhosPdCl2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,1.08
ELN031853-003,1,C3,30.42,KOPiv,K2CO3,XantPhos Pd G2,,anisole,ArBr,,XantPhos,water,,CH-Activation,C,3,C: anisole (10vol)/ water (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,-0.14
ELN031853-003,1,D3,23.91,KOPiv,K2CO3,XantPhos Pd G2,,NMP,ArBr,,XantPhos,water,,CH-Activation,D,3,D: NMP (10vol)/ water (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,-0.35
ELN031853-003,1,E3,45.05,KOPiv,K2CO3,XantPhos Pd G2,,DMAc,ArBr,,XantPhos,,,CH-Activation,E,3,E: DMAc (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.33
ELN031853-003,1,F3,28.15,KOPiv,K2CO3,XantPhos Pd G2,,DMI,ArBr,,XantPhos,,,CH-Activation,F,3,F: DMI (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,-0.21
ELN031853-003,1,G3,45.05,KOPiv,K2CO3,XantPhos Pd G2,,anisole,ArBr,,XantPhos,,,CH-Activation,G,3,G: anisole (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.33
ELN031853-003,1,H3,44.11,KOPiv,K2CO3,XantPhos Pd G2,,NMP,ArBr,,XantPhos,,,CH-Activation,H,3,H: NMP (10vol)/,3: XantPhos Pd G2 (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.3
ELN031853-003,1,A4,42.26,KOPiv,K2CO3,P(tBu)3 Pd(crotyl)Cl,,DMAc,ArBr,,P(tBu)3,water,,CH-Activation,A,4,A: DMAc (10vol)/ water (10vol)/,4: P(tBu)3 Pd(crotyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,0.24
ELN031853-003,1,C4,30.81,KOPiv,K2CO3,P(tBu)3 Pd(crotyl)Cl,,anisole,ArBr,,P(tBu)3,water,,CH-Activation,C,4,C: anisole (10vol)/ water (10vol)/,4: P(tBu)3 Pd(crotyl)Cl (2mol%)/ K2CO3 (3 eq)/,ArH,ArBr,"ArBr, ArH",20 h at 25 °C,-0.13
